"Industry Sector","Type of Employee","Quarter","Statistic Label","UNIT","VALUE"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","1084.44"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","1089.44"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","1125.46"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","1110.05"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","1143.09"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","1139.09"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","1133.87"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","1135.67"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","1111.17"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","1129.4"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","1165.3"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Managerial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","1163.4"
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro",""
"Food Products and Beverages; Tobacco Products (NACE 15-16)","Industrial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro",""
"Textile and Textile Products (NACE 17-18)","All Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Textile and Textile Products (NACE 17-18)","All Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","255.7"
"Textile and Textile Products (NACE 17-18)","All Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","265.94"
"Textile and Textile Products (NACE 17-18)","All Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","267.45"
"Textile and Textile Products (NACE 17-18)","All Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","260.2"
"Textile and Textile Products (NACE 17-18)","All Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","267.13"
"Textile and Textile Products (NACE 17-18)","All Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","275.05"
"Textile and Textile Products (NACE 17-18)","All Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","276.86"
"Textile and Textile Products (NACE 17-18)","All Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","278.87"
"Textile and Textile Products (NACE 17-18)","All Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","295.26"
"Textile and Textile Products (NACE 17-18)","All Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","293.57"
"Textile and Textile Products (NACE 17-18)","All Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","296.59"
"Textile and Textile Products (NACE 17-18)","All Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","303.11"
"Textile and Textile Products (NACE 17-18)","All Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","290.77"
"Textile and Textile Products (NACE 17-18)","All Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","305.58"
"Textile and Textile Products (NACE 17-18)","All Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","307.35"
"Textile and Textile Products (NACE 17-18)","All Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","315.96"
"Textile and Textile Products (NACE 17-18)","All Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","332.04"
"Textile and Textile Products (NACE 17-18)","All Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","331.61"
"Textile and Textile Products (NACE 17-18)","All Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","353.14"
"Textile and Textile Products (NACE 17-18)","All Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","344.96"
"Textile and Textile Products (NACE 17-18)","All Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","368"
"Textile and Textile Products (NACE 17-18)","All Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","371.97"
"Textile and Textile Products (NACE 17-18)","All Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","390.11"
"Textile and Textile Products (NACE 17-18)","All Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","403.97"
"Textile and Textile Products (NACE 17-18)","All Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","413.88"
"Textile and Textile Products (NACE 17-18)","All Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","404.91"
"Textile and Textile Products (NACE 17-18)","All Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","407.35"
"Textile and Textile Products (NACE 17-18)","All Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","411.67"
"Textile and Textile Products (NACE 17-18)","All Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","426.19"
"Textile and Textile Products (NACE 17-18)","All Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","432.75"
"Textile and Textile Products (NACE 17-18)","All Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","421.54"
"Textile and Textile Products (NACE 17-18)","All Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","411.25"
"Textile and Textile Products (NACE 17-18)","All Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","419.22"
"Textile and Textile Products (NACE 17-18)","All Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","425.98"
"Textile and Textile Products (NACE 17-18)","All Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","440.39"
"Textile and Textile Products (NACE 17-18)","All Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","449.84"
"Textile and Textile Products (NACE 17-18)","All Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","467.91"
"Textile and Textile Products (NACE 17-18)","All Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","465.24"
"Textile and Textile Products (NACE 17-18)","All Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","473.6"
"Textile and Textile Products (NACE 17-18)","All Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","481.56"
"Textile and Textile Products (NACE 17-18)","All Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","485.29"
"Textile and Textile Products (NACE 17-18)","All Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","477.17"
"Textile and Textile Products (NACE 17-18)","All Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","495.4"
"Textile and Textile Products (NACE 17-18)","All Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","492.03"
"Textile and Textile Products (NACE 17-18)","All Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","534"
"Textile and Textile Products (NACE 17-18)","All Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","526.61"
"Textile and Textile Products (NACE 17-18)","All Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","536.65"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro",""
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","431.12"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","433.19"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","431"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","428.42"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","434.16"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","439.11"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","457.62"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","458.75"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","467.02"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","461.66"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","460.52"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","468.22"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","464.03"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","480.36"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","476.88"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","493.13"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","505.37"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","503.48"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","536.06"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","515.79"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","545.05"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","546.05"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","581.07"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","582.15"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","594.59"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","611.53"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","594.23"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","591.69"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","599.56"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","604.29"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","606.72"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","603.28"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","609.2"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","622.61"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","646.39"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","651.13"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","656.29"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","665.21"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","686.69"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","695.23"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","693.58"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","701.45"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","720.56"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","700.91"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","742.91"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","745.59"
"Textile and Textile Products (NACE 17-18)","Clerical and Managerial Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","765.53"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1995Q3","Average Weekly Earnings (Euro)","Euro","321.55"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","326.86"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","339.59"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","333.55"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","326.3"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","334.97"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","340.19"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","351.45"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","354.07"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","361.35"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","362.87"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","358.82"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","365.99"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","368.58"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","377.79"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","372.57"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","383.38"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","391.31"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","387.32"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","417.07"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","394.38"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","416.21"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","410.76"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","430.48"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","430.15"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2001Q4","Average Weekly Earnings (Euro)","Euro","441.49"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2002Q1","Average Weekly Earnings (Euro)","Euro","451.7"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2002Q2","Average Weekly Earnings (Euro)","Euro","438.19"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2002Q3","Average Weekly Earnings (Euro)","Euro","436.95"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2002Q4","Average Weekly Earnings (Euro)","Euro","451.69"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2003Q1","Average Weekly Earnings (Euro)","Euro","466.7"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2003Q2","Average Weekly Earnings (Euro)","Euro","465.48"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2003Q3","Average Weekly Earnings (Euro)","Euro","441.42"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2003Q4","Average Weekly Earnings (Euro)","Euro","448.97"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2004Q1","Average Weekly Earnings (Euro)","Euro","454.35"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2004Q2","Average Weekly Earnings (Euro)","Euro","465.16"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2004Q3","Average Weekly Earnings (Euro)","Euro","476.28"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2004Q4","Average Weekly Earnings (Euro)","Euro","483.43"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2005Q1","Average Weekly Earnings (Euro)","Euro","485.61"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2005Q2","Average Weekly Earnings (Euro)","Euro","504.47"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2005Q3","Average Weekly Earnings (Euro)","Euro","501.2"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2005Q4","Average Weekly Earnings (Euro)","Euro","500.87"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2006Q1","Average Weekly Earnings (Euro)","Euro","509.84"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2006Q2","Average Weekly Earnings (Euro)","Euro","530.15"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2006Q3","Average Weekly Earnings (Euro)","Euro","523.17"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2006Q4","Average Weekly Earnings (Euro)","Euro","565.57"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2007Q1","Average Weekly Earnings (Euro)","Euro","578.7"
"Textile and Textile Products (NACE 17-18)","Clerical Employees","2007Q2","Average Weekly Earnings (Euro)","Euro","591.21"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1995Q3","Average Weekly Earnings (Euro)","Euro","553.02"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1995Q4","Average Weekly Earnings (Euro)","Euro","565.39"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1996Q1","Average Weekly Earnings (Euro)","Euro","559.59"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1996Q2","Average Weekly Earnings (Euro)","Euro","566.54"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1996Q3","Average Weekly Earnings (Euro)","Euro","569.4"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1996Q4","Average Weekly Earnings (Euro)","Euro","573.97"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1997Q1","Average Weekly Earnings (Euro)","Euro","578.99"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1997Q2","Average Weekly Earnings (Euro)","Euro","602.6"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1997Q3","Average Weekly Earnings (Euro)","Euro","606.17"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1997Q4","Average Weekly Earnings (Euro)","Euro","620.74"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1998Q1","Average Weekly Earnings (Euro)","Euro","606.29"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1998Q2","Average Weekly Earnings (Euro)","Euro","604.85"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1998Q3","Average Weekly Earnings (Euro)","Euro","606.43"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1998Q4","Average Weekly Earnings (Euro)","Euro","594.85"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1999Q1","Average Weekly Earnings (Euro)","Euro","623.31"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1999Q2","Average Weekly Earnings (Euro)","Euro","620.69"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1999Q3","Average Weekly Earnings (Euro)","Euro","644.76"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","1999Q4","Average Weekly Earnings (Euro)","Euro","654.58"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2000Q1","Average Weekly Earnings (Euro)","Euro","672.62"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2000Q2","Average Weekly Earnings (Euro)","Euro","722.24"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2000Q3","Average Weekly Earnings (Euro)","Euro","705.97"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2000Q4","Average Weekly Earnings (Euro)","Euro","733.07"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2001Q1","Average Weekly Earnings (Euro)","Euro","741.1"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2001Q2","Average Weekly Earnings (Euro)","Euro","793.32"
"Textile and Textile Products (NACE 17-18)","Managerial Employees","2001Q3","Average Weekly Earnings (Euro)","Euro","799.87"
