"Statistic Label","Broad Nationality Group","Sex","Industry Sector NACE Rev 2","Year","UNIT","VALUE"
"Foreign Nationals in Employment","All nationalities","Female","Human health and social work activities (Q)","2016","Number","19133"
"Foreign Nationals in Employment","All nationalities","Female","Human health and social work activities (Q)","2017","Number","21634"
"Foreign Nationals in Employment","All nationalities","Female","Human health and social work activities (Q)","2018","Number","24082"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2005","Number","1241"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2006","Number","1827"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2007","Number","2328"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2008","Number","2512"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2009","Number","2307"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2010","Number","2046"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2011","Number","1842"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2012","Number","1761"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2013","Number","1781"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2014","Number","1675"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2015","Number","1753"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2016","Number","1788"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2017","Number","1940"
"Foreign Nationals in Employment","All nationalities","Female","Arts, entertainment and recreation (R)","2018","Number","2123"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2005","Number","1723"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2006","Number","2693"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2007","Number","3751"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2008","Number","4065"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2009","Number","3822"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2010","Number","3771"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2011","Number","3677"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2012","Number","3905"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2013","Number","3917"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2014","Number","4221"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2015","Number","4375"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2016","Number","5076"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2017","Number","5574"
"Foreign Nationals in Employment","All nationalities","Female","Other service activities (S)","2018","Number","6225"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2005","Number","94"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2006","Number","114"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2007","Number","146"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2008","Number","180"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2009","Number","183"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2010","Number","225"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2011","Number","249"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2012","Number","266"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2013","Number","239"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2014","Number","186"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2015","Number","203"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2016","Number","185"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2017","Number","174"
"Foreign Nationals in Employment","All nationalities","Female","Activities of households as employers; producing activities of households for own use (T)","2018","Number","204"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2005","Number","5"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2006","Number","11"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2007","Number","13"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2008","Number","21"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2009","Number","24"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2010","Number","20"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2011","Number","22"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2012","Number","21"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2013","Number","20"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2014","Number","20"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2015","Number","20"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2016","Number","28"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2017","Number","25"
"Foreign Nationals in Employment","All nationalities","Female","Activities of extraterritorial organisations and bodies (U)","2018","Number","28"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2005","Number","88451"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2006","Number","125958"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2007","Number","162838"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2008","Number","171388"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2009","Number","147393"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2010","Number","137718"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2011","Number","135782"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2012","Number","137535"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2013","Number","143034"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2014","Number","151734"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2015","Number","164092"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2016","Number","178890"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2017","Number","195700"
"Foreign Nationals in Employment","All nationalities","Female","All NACE economic sectors","2018","Number","216226"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2005","Number","3874"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2006","Number","3699"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2007","Number","3408"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2008","Number","3055"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2009","Number","3731"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2010","Number","3308"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2011","Number","2980"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2012","Number","2977"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2013","Number","6566"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2014","Number","9168"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2015","Number","15137"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2016","Number","6515"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2017","Number","7963"
"Foreign Nationals in Employment","All nationalities","Female","Employer NACE not known","2018","Number","7259"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2005","Number","81"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2006","Number","54"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2007","Number","147"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2008","Number","281"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2009","Number","264"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2010","Number","278"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2011","Number","288"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2012","Number","367"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2013","Number","660"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2014","Number","971"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2015","Number","1223"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2016","Number","1495"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2017","Number","1655"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Agriculture, forestry and fishing (A)","2018","Number","1919"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2005","Number",""
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2006","Number","3"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2007","Number","6"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2008","Number","9"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2009","Number","6"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2010","Number","3"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2011","Number","10"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2012","Number","5"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2013","Number","6"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2014","Number","8"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2015","Number","7"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2016","Number","8"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2017","Number","15"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Mining and quarrying (B)","2018","Number","19"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2005","Number","289"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2006","Number","293"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2007","Number","588"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2008","Number","790"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2009","Number","653"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2010","Number","522"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2011","Number","568"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2012","Number","682"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2013","Number","1010"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2014","Number","1565"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2015","Number","2356"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2016","Number","3766"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2017","Number","4726"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Manufacturing (C)","2018","Number","6301"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2005","Number",""
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2006","Number",""
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2007","Number",""
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2008","Number","4"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2009","Number","6"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2010","Number","6"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2011","Number","6"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2012","Number","4"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2013","Number","10"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2014","Number","14"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2015","Number","17"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2016","Number","23"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2017","Number","30"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Electricity, gas, steam and air conditioning supply (D)","2018","Number","30"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2005","Number","56"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2006","Number","54"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2007","Number","88"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2008","Number","146"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2009","Number","148"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2010","Number","125"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2011","Number","125"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2012","Number","145"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2013","Number","212"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2014","Number","288"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2015","Number","366"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2016","Number","340"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2017","Number","416"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Water supply, sewerage, waste management and remediation activities (E)","2018","Number","718"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2005","Number","411"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2006","Number","818"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2007","Number","2763"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2008","Number","3200"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2009","Number","1826"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2010","Number","1202"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2011","Number","1050"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2012","Number","1126"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2013","Number","1265"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2014","Number","1632"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2015","Number","2342"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2016","Number","3661"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2017","Number","5113"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Construction (F)","2018","Number","6045"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2005","Number","246"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2006","Number","336"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2007","Number","973"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2008","Number","1324"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2009","Number","1256"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2010","Number","1189"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2011","Number","1276"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2012","Number","1547"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2013","Number","2042"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2014","Number","2745"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2015","Number","3758"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2016","Number","4952"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2017","Number","6295"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Wholesale and retail trade: repair of motor vehicles and motorcycles (G)","2018","Number","7653"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2005","Number","42"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2006","Number","53"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2007","Number","269"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2008","Number","391"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2009","Number","298"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2010","Number","268"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2011","Number","315"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2012","Number","338"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2013","Number","397"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2014","Number","535"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2015","Number","796"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2016","Number","1157"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2017","Number","1668"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Transportation and storage (H)","2018","Number","2214"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2005","Number","766"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2006","Number","930"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2007","Number","2182"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2008","Number","3023"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2009","Number","2773"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2010","Number","2758"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2011","Number","3177"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2012","Number","4125"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2013","Number","5377"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2014","Number","6442"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2015","Number","7672"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2016","Number","10030"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2017","Number","11305"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Accommodation and food service activities (I)","2018","Number","12215"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2005","Number","28"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2006","Number","66"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2007","Number","117"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2008","Number","158"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2009","Number","163"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2010","Number","208"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2011","Number","248"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2012","Number","335"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2013","Number","489"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2014","Number","744"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2015","Number","999"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2016","Number","1303"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2017","Number","1591"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Information and communication (J)","2018","Number","1879"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2005","Number","14"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2006","Number","33"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2007","Number","44"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2008","Number","60"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2009","Number","80"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2010","Number","82"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2011","Number","78"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2012","Number","113"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2013","Number","176"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2014","Number","262"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2015","Number","355"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2016","Number","512"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2017","Number","627"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Financial and insurance activities (K)","2018","Number","789"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2005","Number","10"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2006","Number","12"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2007","Number","54"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2008","Number","77"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2009","Number","56"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2010","Number","72"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2011","Number","147"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2012","Number","209"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2013","Number","216"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2014","Number","358"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2015","Number","401"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2016","Number","501"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2017","Number","596"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Real estate activities (L)","2018","Number","749"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2005","Number","67"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2006","Number","100"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2007","Number","193"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2008","Number","281"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2009","Number","235"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2010","Number","246"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2011","Number","361"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2012","Number","377"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2013","Number","444"
"Foreign Nationals in Employment","EU25 to EU28 states","Both sexes","Professional, scientific and technical activities (M)","2014","Number","572"
